  AMCW  FCW Fcolor Fsurf
 17.00 20.9      3     3
 16.60 20.8      5     5
 16.30 21.9      5     5
 15.30 22.1      5     5
 17.30 22.7      5     5
 14.40 21.9      5     5
 14.10 18.9      5     5
 15.00 24.5      5     5
 14.70 22.0      5     5
 16.40 21.8      5     5
 15.50 21.7      3     4
 14.70 20.3      3     4
 16.00 20.2      3     4
 16.90 21.3      3     4
 19.60 23.0      3     4
 15.20 20.3      5     3
 16.30 21.8      5     3
 16.20 20.8      5     3
 16.40 23.6      5     4
 15.30 24.3      5     4
 15.00 21.0      5     2
 15.50 19.6      3     4
 15.90 22.9      3     4
 15.50 22.7      3     4
 15.50 20.9      3     4
 16.40 23.0      3     4
 16.60 22.5      3     4
 15.40 24.0      5     2
 16.90 25.6      3     4
 15.30 22.5      5     3
 14.60 22.8      5     3
 16.40 22.3      5     3
 16.50 21.6      5     3
 15.20 23.2      5     3
 15.50 22.5      5     3
 16.10 20.2      5     3
 17.00 18.4      5     3
 16.40 22.6      5     4
 16.10 21.2      5     4
 15.20 21.7      5     4
 16.80 20.8      5     4
 16.50 20.0      5     4
 14.20 21.8      3     4
 16.10 22.4      3     4
 17.10 20.8      3     4
 15.50 22.5      3     4
 16.90 21.5      3     4
 16.70 23.9      5     2
 16.90 21.2      5     3
 15.50 22.6      5     3
 15.50 25.0      5     3
 16.00 24.3      3     5
 16.50 21.5      5     3
 17.20 22.3      5     3
 19.30 22.1      5     3
 16.00 20.3      5     4
 16.40 20.5      5     4
 15.10 19.6      5     4
 15.80 21.5      5     4
 17.20 22.9      5     4
 16.30 22.7      1     1
 15.30 21.0      1     1
 14.20 21.5      1     2
 15.10 19.8      1     2
 16.60 20.4      1     2
 16.60 19.0      1     2
 17.10 21.9      1     2
 15.30 21.6      3     1
 16.30 20.8      3     1
 15.80 22.5      3     1
 17.00 21.4      1     3
 18.40 22.0      3     1
 15.50 20.0      1     4
 15.90 21.5      3     2
 17.00 23.8      3     2
 16.00 20.4      3     2
 16.10 20.5      3     2
 17.00 20.3      3     2
 15.50 24.5      3     3
 15.60 20.5      3     3
 16.30 21.8      3     3
 15.20 18.4      3     3
 14.30 21.7      3     3
 17.00 23.6      3     3
 15.70 19.1      3     3
 18.00 20.2      3     3
 17.10 22.1      3     3
 16.40 24.0      3     3
 17.20 20.5      3     3
 17.30 20.7      3     3
 17.40 22.1      3     3
 15.50 21.4      1     1
 16.50 21.4      1     1
 16.60 22.3      1     2
 16.40 21.8      1     2
 14.70 21.5      1     3
 14.90 21.4      1     3
 15.90 23.2      1     3
 16.10 24.2      1     3
 16.40 21.1      3     2
 15.70 20.6      3     2
 15.90 24.5      3     2
 16.00 23.1      1     4
 17.50 21.8      3     2
 15.10 22.7      3     3
 15.30 23.1      3     3
 15.60 22.1      5     1
 15.60 21.6      3     3
 16.10 20.3      3     3
 15.20 22.6      3     3
 16.00 20.8      3     3
 16.80 23.8      3     3
 14.80 22.5      3     3
 16.80 20.0      3     3
 16.40 22.6      5     1
 16.40 20.6      3     3
 16.10 23.6      3     3
 16.80 19.3      3     3
 14.60 20.8      3     1
 15.20 22.0      1     3
 15.60 20.8      1     3
 17.00 20.0      3     1
 16.10 20.5      3     1
 16.60 19.9      3     1
 16.90 23.6      3     1
 16.70 21.1      1     3
 18.50 22.4      1     3
 15.30 21.3      3     2
 15.20 20.6      3     2
 15.50 22.5      3     2
 15.40 21.5      3     2
 15.70 20.8      3     2
 15.20 23.1      1     4
 16.00 21.0      3     2
 16.00 21.0      3     2
 16.50 21.6      3     2
 17.40 20.9      3     2
 14.00 20.3      3     3
 14.90 22.3      3     3
 15.80 21.7      3     3
 15.50 20.4      3     3
 15.50 22.3      3     3
 15.20 19.7      3     3
 16.10 21.0      3     3
 15.90 22.7      3     3
 16.40 22.4      3     3
 16.50 20.2      3     3
 16.90 21.7      3     3
 17.50 24.0      3     3
 15.10 23.2      3     3
 17.00 24.3      3     3
 17.20 23.5      3     3
 16.00 23.6      5     5
 16.90 22.4      5     5
 16.30 19.4      5     5
 16.90 22.6      5     5
 16.70 19.6      5     5
 17.10 20.2      5     5
 15.20 18.6      5     2
 16.40 24.0      3     4
 16.00 21.2      3     4
 16.30 22.0      5     3
 16.00 21.5      3     4
 15.80 23.3      5     2
 16.50 22.5      5     2
 19.00 21.6      3     4
 16.80 20.3      3     5
 16.90 20.1      3     5
 15.60 20.2      5     4
 15.30 23.9      5     4
 15.30 21.0      3     4
 16.70 20.4      5     2
 17.50 22.8      3     4
 16.00 21.3      3     4
 16.70 20.7      5     2
 15.40 20.5      5     3
 15.10 19.1      3     5
 15.80 19.3      3     5
 16.90 21.5      5     3
 15.80 22.9      3     5
 15.90 24.4      5     3
 14.00 20.5      5     4
 14.60 19.0      5     4
 15.40 20.9      5     4
 17.80 21.6      1     1
 14.90 19.4      3     3
 16.30 21.0      1     5
 17.30 19.7      1     2
 15.20 21.8      1     3
 16.90 23.7      1     3
 14.90 20.1      3     3
 15.90 21.1      1     1
 15.60 23.0      1     2
 15.00 20.4      3     1
 15.40 20.9      1     3
 16.90 19.6      1     3
 15.80 21.6      1     3
 16.80 22.1      3     2
 15.80 22.1      3     3
 16.90 18.8      1     5
 17.60 23.0      3     3
 16.80 21.0      3     3
 16.80 24.0      3     3
 15.00 23.4      1     1
 15.70 22.5      1     1
 15.90 19.4      1     2
 16.20 12.5      1     2
 16.00 22.1      1     2
 14.40 21.9      3     1
 15.20 19.6      1     3
 15.00 21.3      1     3
 16.20 19.9      3     1
 17.00 23.4      3     1
 16.30 19.2      1     3
 16.90 22.3      1     3
 16.90 21.3      3     1
 14.50 23.7      3     2
 14.70 24.6      3     2
 16.50 22.0      1     4
 16.60 22.5      1     4
 15.90 20.6      3     2
 16.30 22.7      1     4
 16.80 15.9      1     4
 18.10 24.1      3     2
 17.60 22.0      3     2
 15.90 19.8      1     5
 15.20 21.2      3     3
 14.80 22.5      3     3
 15.00 21.3      3     3
 14.40 20.0      3     3
 16.00 23.1      3     3
 16.50 22.2      3     3
 16.90 22.0      3     3
 15.10 22.3      1     1
 16.70 21.8      1     1
 16.00 23.4      1     2
 16.50 20.3      1     2
 15.80 20.3      1     2
 16.50 21.1      1     2
 17.80 19.2      1     2
 18.20 21.3      1     2
 15.40 20.0      1     3
 15.00 21.6      1     3
 15.50 20.1      1     3
 16.20 21.0      1     3
 15.60 22.4      1     3
 16.10 21.3      3     1
 17.10 21.0      1     3
 16.90 21.1      3     1
 16.00 19.0      1     3
 16.50 20.4      1     3
 18.20 20.3      1     3
 18.70 21.5      1     3
 16.40 20.5      3     2
 14.20 21.0      3     2
 15.70 22.0      3     2
 15.30 23.5      3     2
 16.20 22.5      3     2
 16.90 22.3      3     2
 15.20 19.5      3     3
 15.00 21.8      3     3
 16.00 20.0      5     1
 15.20 22.8      3     3
 15.70 21.9      3     3
 16.50 19.9      3     3
 16.50 22.0      3     3
 16.00 23.3      3     3
 17.50 20.2      3     3
 16.00 21.1      1     5
 16.70 19.9      3     3
 16.70 21.7      1     5
 16.30 20.5      5     1
